" item_created_start","item_created_end","item_type","item_subtype","establishment_number","reference","file_name","uniform_title","collection_name","hell","status","visible","location","scan_third_party","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dce_alternative","dce_toc","dce_abstract","dce_is_version_of","dce_has_version","dce_is_part_of","dce_has_part","dce_is_referenced_by","dce_references","dce_is_format_of","dce_has_format","dce_spatial","dce_temporal","page_count","bookbinding","press_type","page_number","page_order","item_latitude","item_longitude","icono_school","icono_material","icono_condition"," theme"
1930,,,,"B543956101","P-FG-AL-00001_0001","B543956101_P-FG-AL-00001_0001.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine","Épreuve photographique sur papier au gélatino-bromure d'argent : 125 x 175 mm mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-01","Bibliothèque municipale (Nancy)","Vue de la salle de lecture avant les travaux de réfection des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0002","B543956101_P-FG-AL-00001_0002.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine","Épreuve photographique sur papier au gélatino-bromure d'argent : 125 x 175 mm mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-02","Bibliothèque municipale (Nancy)","Vue de la salle de lecture avant les travaux de réfection des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0003","B543956101_P-FG-AL-00001_0003.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""5 oct 30""","Épreuve photographique sur papier au gélatino-bromure d'argent : 169 x 232 mm mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-03","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue de la cour et de la façade pendant les travaux des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0004","B543956101_P-FG-AL-00001_0004.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""10 Dec 30""","Épreuve photographique sur papier au gélatino-bromure d'argent : 225 x 165 mm mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-04","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux dans la salle de lecture dans les années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1932,,,,"B543956101","P-FG-AL-00001_0005","B543956101_P-FG-AL-00001_0005.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1932,"Date incertaine. Au verso au crayon graphite : ""20 Avril 1932 / 15 heures""","Épreuve photographique sur papier au gélatino-bromure d'argent : 171 x 236 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-05","Bibliothèque municipale (Nancy)","Vue de la salle de lecture, avril 1932","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0006","B543956101_P-FG-AL-00001_0006.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine","Épreuve photographique sur papier au gélatino-bromure d'argent : 126 x 176 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-06","Bibliothèque municipale (Nancy)","Vue d'une salle de lecture avant les travaux de refection des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0007","B543956101_P-FG-AL-00001_0007.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine","Épreuve photographique sur papier au gélatino-bromure d'argent : 165 x 125 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-07","Bibliothèque municipale (Nancy)","Vue d'une salle de la bibliothèque avant les travaux de refection des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0008","B543956101_P-FG-AL-00001_0008.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""19 Juin 1930""","Épreuve photographique sur papier au gélatino-bromure d'argent : 168 x 233 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-08","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux à la bibliothèque, juin 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0009","B543956101_P-FG-AL-00001_0009.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""19 Juin 1930""","Épreuve photographique sur papier au gélatino-bromure d'argent : 169 x 233 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-09","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux de la salle de lecture, juin 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0010","B543956101_P-FG-AL-00001_0010.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""17 juillet 1930""","Épreuve photographique sur papier au gélatino-bromure d'argent : 176 x 234 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-10","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux à la bibliothèque, juillet 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0011","B543956101_P-FG-AL-00001_0011.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""17 juillet 1930""","Épreuve photographique sur papier au gélatino-bromure d'argent : 176 x 228 (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-11","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux à la bibliothèque, juillet 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0012","B543956101_P-FG-AL-00001_0012.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""5 oct 30""","Épreuve photographique sur papier au gélatino-bromure d'argent : 170 x 235 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-12","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux à la bibliothèque, octobre 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1930,,,,"B543956101","P-FG-AL-00001_0013","B543956101_P-FG-AL-00001_0013.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1930,"Date incertaine. Au verso au crayon graphite : ""5 oct 30""","Épreuve photographique sur papier au gélatino-bromure d'argent : 169 x 236 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-13","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue des travaux à la bibliothèque, octobre 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1932,,,,"B543956101","P-FG-AL-00001_0014","B543956101_P-FG-AL-00001_0014.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1932,"Date incertaine. Au verso au crayon graphite : ""salle des catalogues""","Épreuve photographique sur papier au gélatino-bromure d'argent : 175 x 234 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-14","Bibliothèque municipale (Nancy)","Vue de l'accueil de la bibliothèque après les travaux de refection des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1932,,,,"B543956101","P-FG-AL-00001_0015","B543956101_P-FG-AL-00001_0015.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1932,"Date incertaine","Épreuve photographique sur papier au gélatino-bromure d'argent : 178 x 236 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-15","Bibliothèque municipale (Nancy)","Bureau du conservateur après les travaux de refection des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1932,,,,"B543956101","P-FG-AL-00001_0016","B543956101_P-FG-AL-00001_0016.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1932,"Date incertaine","Épreuve photographique sur papier au gélatino-bromure d'argent : 178 x 236 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-16","Bibliothèque municipale (Nancy)","Vue de la salle de lecture après les travaux des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1932,,,,"B543956101","P-FG-AL-00001_0017","B543956101_P-FG-AL-00001_0017.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)",,1932,"Date incertaine. Au verso à l'encre noire : 18 avril 1932 / 15 heures""","Épreuve photographique sur papier au gélatino-bromure d'argent : 178 x 236 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-17","Bibliothèque municipale (Nancy)","Vue de la salle de lecture après les travaux des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1933,,,,"B543956101","P-FG-AL-00001_0018","B543956101_P-FG-AL-00001_0018.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)","Scherbeck, Jean (1898-1989). Photographe",1933,"En bas à gauche : ""24-6-33""","Épreuve photographique sur papier au gélatino-bromure d'argent : 232 x 170 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-18","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Vue du couloir au premier étage après les travaux des années 30","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1933,,,,"B543956101","P-FG-AL-00001_0019","B543956101_P-FG-AL-00001_0019.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)","Scherbeck, Jean (1898-1989). Photographe",1933,"En bas à gauche : ""24-6-33""","Épreuve photographique sur papier au gélatino-bromure d'argent : 230 x 170 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-19","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Salle des vestiaires après les travaux des années 1930","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1933,,,,"B543956101","P-FG-AL-00001_0020","B543956101_P-FG-AL-00001_0020.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)","Scherbeck, Jean (1898-1989). Photographe",1933,"En bas à gauche : ""24-6-33""","Épreuve photographique sur papier au gélatino-bromure d'argent : 170 x 230 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-20","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Toilettes après les travaux des années 30","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1933,,,,"B543956101","P-FG-AL-00001_0021","B543956101_P-FG-AL-00001_0021.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)","Scherbeck, Jean (1898-1989). Photographe",1933,"En bas à gauche : ""24-6-33""","Épreuve photographique sur papier au gélatino-bromure d'argent : 170 x 230 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-21","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Toilettes après les travaux des années 30","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
1933,,,,"B543956101","P-FG-AL-00001_0022","B543956101_P-FG-AL-00001_0022.jpg",,,,"publiable",,"Galerie","Stocomest",,"Nancy (Meurthe-et-Moselle)","Scherbeck, Jean (1898-1989). Photographe",1933,"En bas à gauche : ""24-6-33""","Épreuve photographique sur papier au gélatino-bromure d'argent : 170 x 230 mm (feuille)",,,,"Domaine public","Bibliothèques de Nancy, P-FG-AL-00001-22","Bibliothèque municipale (Nancy)###Bibliothèques (constructions) -- Conception et construction","Toilettes après les travaux des années 30","image###image fixe###photographie",,,,,,,,,,,,,,,,,,,"48.6919103","6.17908871817159",,"Photographie",,
